bootstrap_id,n_faded,coverage,mean_reverse_profit_per_lot,total_reverse_profit_per_total_lot
74,7905,0.3587962962962963,-4.99495540477514,-5.081211295752954
75,7511,0.35870862982950474,2.1721809458327463,-7.221627062091975
76,7924,0.37823389021479714,-6.504192038470811,-6.101748279098873
77,8168,0.38137927814353084,-2.898415167309021,-2.3678875600972984
78,7480,0.3585638272374287,-2.79951111066436,-2.9459220851094674
79,7960,0.36185107737067007,-13.239280561118036,-11.973677616577715
80,8034,0.3760003744091356,3.1203345108684903,1.9218214306008936
81,7766,0.3731680361347364,12.020401812540623,2.457461927610305
82,8226,0.3820182974968653,-3.124466356103846,-0.38463340079391456
83,7487,0.36218072755417957,-12.509916630612679,-8.847683164150848
84,7545,0.35482505643340856,-9.30783783111815,-8.161682739967043
85,7686,0.36196665724781013,-5.147538195606112,-5.1015463250517605
86,7713,0.36921972235519385,-10.242903572908281,-4.964838447799966
87,8232,0.3769921230994688,-8.54885140538384,-8.830226344770187
88,7937,0.36603025272090023,-4.711105515764241,-4.88463660856299
89,7674,0.35381990870948404,-17.652701941918945,-10.46426568227176
90,7720,0.3701750179812994,-11.131252345565986,-5.801536224554306
91,7735,0.35389120190328044,-6.886833577008281,1.9282318966508636
92,7568,0.3676106280662554,-13.21073219929589,-5.463013418006762
93,8495,0.3903772804558614,-6.446939656380503,-3.6261200471726798
94,7954,0.36976430663381527,-5.755773887748529,-5.1168208161445685
95,8267,0.3773851912717977,-3.4718766620393575,-1.1439300996439148
96,7874,0.3720644521098143,-3.0395892272417955,-1.8449052578742624
97,8028,0.36873047951497334,-4.072438115225859,-0.02718488930492691
98,7838,0.36997875855558177,-4.43558302904454,-6.530502699520224
99,7764,0.36867847476138466,-15.703149776948889,-10.134778928176077
100,8157,0.3758639756704451,-8.383210508802346,-11.104497762215344
101,8537,0.3862196887441187,-12.350759358569789,-6.687598125470262
102,8007,0.37347824058957974,-12.527681032049411,-5.178497463943351
103,7658,0.36431969552806853,-7.872122909632876,-0.7991782392661493
104,7776,0.3631608443863254,-22.743285584210085,-13.117970436910936
105,8154,0.3741053404294366,-18.249153032777798,-11.987904957297582
106,7745,0.36746216254685204,-4.483584437451788,-3.7441450320304996
107,7724,0.36125532014405315,-22.116445671796047,-11.67504963180495
108,7930,0.36312849162011174,-5.529852523806363,-5.987414377021209
109,8325,0.3796169630642955,3.7882372810267553,0.3548837152874637
110,8204,0.37401413266469113,-11.84354125793074,-9.932628104133844
111,7774,0.3629996264475159,-8.701114265704566,-5.680752386653643
112,7850,0.36596736596736595,5.005453056739514,0.42638833869354015
113,7855,0.37099135691682805,-4.301441154726022,-7.335358080717947
114,8168,0.381717917562389,-5.070811951961269,-6.220395953920345
115,8520,0.37143604499084487,-16.857048926110267,-10.661492494243685
116,8242,0.38085116214592674,-12.1734751663836,-3.865599406619899
117,8054,0.3767776946107784,-1.2906045533500972,-9.135012820591653
118,7764,0.3695910886847241,-9.456573243239944,-4.237386233100644
119,7697,0.3536249195993752,-6.463195312198512,-13.846157841431426
120,8161,0.37975802698929734,-25.3660226160992,-19.165158466519163
121,7688,0.36238510487862363,4.904241337536048,0.49641963706635067
122,7439,0.356171598199751,-21.92642132900922,-10.05666564470334
123,8220,0.3790813503043719,1.2454057741677822,-4.771139243611917
124,7483,0.36372915957808777,-11.009874382896566,-8.407384743665608
125,7642,0.3648951917108342,-6.598989077600696,-4.312560784020349
126,7770,0.3579655394821708,-25.331634890920604,-12.712861583992625
127,7844,0.360759784758313,-15.376027912932084,-9.741308585041464
128,8004,0.3747541904672722,-6.044235016330218,-8.079742199539552
129,8647,0.3917100792751982,2.4732191064271567,-4.614067921720885
130,8049,0.36391174608915816,-12.4259789560945,-12.593203240560229
131,7727,0.3674274845458868,-6.664796600664337,-3.602801586851082
132,8374,0.3735891144322998,-3.8150962176757863,-0.9367285158013196
133,7499,0.34919674039580906,-13.649307454304964,-5.7786959608709365
134,7866,0.36722689075630255,-3.226928322122828,-5.140490694612943
135,7415,0.35252448416848914,1.7699795128824114,-0.10600251094296075
136,7964,0.358787223498671,-14.429957509006984,-6.975590622649829
137,7722,0.3680648236415634,-15.42883392327837,-9.463402676987583
138,7959,0.36951576210594733,-4.212703257103339,-6.406360645857922
139,7930,0.3709594423913552,-2.170260668054025,-0.6082579005875816
140,7870,0.3734105143290947,-16.90543502734735,-6.842705051326355
141,7844,0.369320589481614,-0.1480116370384492,-7.0122374096507025
142,7857,0.3644924846910373,-2.253287231485017,-2.748236073257088
143,8214,0.37915435745937964,-2.14234751160427,1.9436433837295655
144,7785,0.36043335339599053,-10.986938487545423,-1.523809219808353
145,8202,0.37197278911564624,-4.514152541664285,-0.8311578868518146
146,7648,0.36786916786916785,-2.7007040570393883,-5.269166797632145
147,7774,0.36475390606671987,-15.18423317157915,-9.328800294324227
148,7979,0.36311094930372256,-14.635810710365792,-12.221224190931872
149,8188,0.37420593208719893,-5.195020458922542,0.7750614162711391
150,7840,0.36908012428208264,-1.516391152297099,-0.6968381462357341
151,7652,0.3695904173106646,-0.1488280608120269,-2.2618001070784115
152,7643,0.35892739738893586,-13.522023235794178,-10.883980927656854
153,7557,0.3632823766945486,-8.951268692912725,-14.002441087769373
154,7401,0.3577436194895592,11.289688554625727,0.7077554504859466
155,7798,0.3619905301271934,-17.32174107013202,-13.808905576069753
156,7708,0.3647030991246747,1.9568733757464536,0.9051450349354223
157,7493,0.3686048799685163,-4.820965710119094,-0.1647329650092093
158,7894,0.3696212014796086,-8.82520049634647,-5.1674672257311185
159,7732,0.37066155321188876,-5.262705457383759,-0.48586860628217143
160,7613,0.35940893211217073,-8.325279587452844,-10.03343925852367
161,7691,0.3601329837048136,-9.401139531857426,-16.686020931503997
162,7392,0.36037441497659906,-7.321249045417064,-5.0463044928977085
163,8021,0.37215236857978007,-9.59607406796053,-2.5167314207565346
164,7698,0.3677622778520925,-12.727140166276953,-4.915058745990005
165,7924,0.3718616546998921,-3.6841402183812986,-8.313909229547658
166,8342,0.3769032666154611,-12.402218264433563,-11.333062882762682
167,8064,0.37106570955273327,4.320377242747623,-1.9253485961070103
168,8305,0.38474010933012137,-4.149702350260194,-1.720311110569722
169,7607,0.36000946521533367,-4.505942260783193,-5.703558124598588
170,8083,0.37322805559403427,-6.717988861592719,-11.605246978138647
171,7618,0.3688032532920217,3.3974279136327823,1.1854688733393086
172,8248,0.3731451321027868,-11.95953517654871,-4.96725895192568
173,8187,0.3776291512915129,-3.764763052600799,-4.9622619685384475
174,7768,0.3692366194505181,-12.779011220296317,-11.841199434522652
175,8036,0.3804563961746047,-17.30838850486096,-8.763168888134624
176,8333,0.3864669325665523,-0.4810331374293935,-5.173761192920749
177,7420,0.3619512195121951,4.6538965900825735,3.1499433522159266
178,7550,0.35996948603032325,0.9634296183464881,2.403769609771383
179,7282,0.35729355772533244,-21.285771222049032,-17.032613875262786
180,7719,0.3623093170617226,-2.3600955701033435,-5.549146613362036
181,7968,0.37133004007829246,-15.915030558742911,-7.452493033659587
182,7769,0.36208985831469054,-17.922615332607137,-12.59772147178521
183,8027,0.3734878094174577,-19.70835785777266,-17.286483549056413
184,7827,0.3715994872525281,-14.962849105110205,-14.466154308643429
185,7712,0.37295676564464647,-0.9305376625562876,-5.506766414455998
186,7881,0.36859828819980356,1.4892512919570002,1.0539204990309439
187,8243,0.37122269759063276,-10.497839147790621,-4.349408287622085
188,8131,0.3768015199962927,-0.7556031035034396,-1.5115211791551362
189,8236,0.37174452719476414,-15.66445173128636,-13.615282647737963
190,8492,0.38371515069359724,1.0640723482044736,-4.180407452467855
191,7862,0.3669716206123973,-7.306061546709599,-5.4891527820114545
192,7713,0.37010556621880997,-2.7662787650699365,-10.00376499546745
193,7935,0.3743807501769285,-1.6970813679479477,-8.73989849824124
194,8030,0.37421940534998605,-4.733911279198033,-4.581704723811452
195,7573,0.36664245945291696,-12.935780700114693,-9.465248925207574
196,8098,0.37631860216552815,-6.5665360071448,-1.4225895912577775
197,7859,0.37044543954749,-21.32359651630551,-17.198224852071007
198,7735,0.367214204329662,6.034552595667146,3.889936127122604
199,7557,0.3688500585708708,-7.134676735285789,-7.490299566364758
